mode,service,train_uid,platform,operator,aimed_departure_time,expected_departure_time,best_departure_estimate_mins,aimed_arrival_time,expected_arrival_time,best_arrival_estimate_mins,status,source,origin_code,destination_code
train,22209000,G24203,8,LM,2014/04/04 13:11:00,2014/04/04 13:15:00,1,2014/04/04 13:08:00,2014/04/04 13:13:00,-1,LATE,Network Rail,EUS,NMP
train,22209000,G25190,9,LM,2014/04/04 13:16:00,2014/04/04 13:16:00,0,2014/04/04 13:16:00,2014/04/04 13:15:00,0,ON TIME,Network Rail,TRI,EUS
train,24674005,W82064,8,SN,2014/04/04 13:21:00,2014/04/04 13:21:00,0,2014/04/04 13:21:00,2014/04/04 13:20:00,0,ON TIME,Network Rail,SCY,MKC
train,22213000,G23676,11,LM,,,,2014/04/04 13:23:00,2014/04/04 13:22:00,0,LATE,Network Rail,SAA,WFJ
train,22216000,L36252,4,LO,,,,2014/04/04 13:24:00,2014/04/04 13:23:00,0,EARLY,Network Rail,EUS,WFJ
train,22209000,G25236,8,LM,2014/04/04 13:27:00,2014/04/04 13:27:00,0,2014/04/04 13:26:00,2014/04/04 13:25:00,-1,ON TIME,Network Rail,EUS,TRI
train,22209000,G24043,9,LM,2014/04/04 13:27:00,2014/04/04 13:29:00,0,2014/04/04 13:25:00,2014/04/04 13:28:00,-1,LATE,Network Rail,MKC,EUS
train,12259320,G26933,7,LM,2014/04/04 13:30:00,2014/04/04 13:34:00,0,2014/04/04 13:29:00,2014/04/04 13:34:00,0,LATE,Network Rail,BHM,EUS
