mode,service,train_uid,platform,operator,aimed_departure_time,expected_departure_time,best_departure_estimate_mins,aimed_arrival_time,expected_arrival_time,best_arrival_estimate_mins,status,source,origin_code,destination_code
train,22209000,G25231,,LM,2014/04/04 13:03:00,2014/04/04 13:06:00,0,2014/04/04 13:02:00,2014/04/04 13:06:00,0,LATE,Network Rail,EUS,TRI
train,22209000,G25190,,LM,2014/04/04 13:08:00,2014/04/04 13:09:00,3,2014/04/04 13:08:00,2014/04/04 13:09:00,3,LATE,Network Rail,TRI,EUS
train,22209000,G25236,,LM,2014/04/04 13:35:00,2014/04/04 13:35:00,29,2014/04/04 13:35:00,2014/04/04 13:35:00,29,ON TIME,Network Rail,EUS,TRI
train,22209000,G25192,,LM,2014/04/04 13:38:00,2014/04/04 13:38:00,32,2014/04/04 13:38:00,2014/04/04 13:38:00,32,ON TIME,Network Rail,TRI,EUS
train,22209000,G25239,,LM,2014/04/04 14:03:00,2014/04/04 14:03:00,57,2014/04/04 14:03:00,2014/04/04 14:03:00,57,ON TIME,Network Rail,EUS,TRI
train,22209000,G25198,,LM,2014/04/04 14:08:00,2014/04/04 14:08:00,62,2014/04/04 14:08:00,2014/04/04 14:08:00,62,ON TIME,Network Rail,TRI,EUS
train,22209000,G25242,,LM,2014/04/04 14:35:00,2014/04/04 14:35:00,89,2014/04/04 14:35:00,2014/04/04 14:35:00,89,ON TIME,Network Rail,EUS,TRI
train,22209000,G25202,,LM,2014/04/04 14:38:00,2014/04/04 14:38:00,92,2014/04/04 14:38:00,2014/04/04 14:38:00,92,ON TIME,Network Rail,TRI,EUS
train,22209000,G25245,,LM,2014/04/04 15:03:00,2014/04/04 15:03:00,117,2014/04/04 15:03:00,2014/04/04 15:03:00,117,ON TIME,Network Rail,EUS,TRI
