mode,service,train_uid,platform,operator,aimed_departure_time,expected_departure_time,best_departure_estimate_mins,aimed_arrival_time,expected_arrival_time,best_arrival_estimate_mins,status,source,origin_code,destination_code
train,22104001,Y81151,18,VT,,,,2014/04/05 18:38:00,2014/04/05 18:47:00,0,LATE,Network Rail,CTR,EUS
train,22108001,Y81153,13,VT,,,,2014/04/05 18:42:00,2014/04/05 18:48:00,0,LATE,Network Rail,MAN,EUS
train,12259320,G26953,9,LM,,,,2014/04/05 18:45:00,2014/04/05 18:49:00,0,LATE,Network Rail,BHM,EUS
train,22216000,L36109,9,LO,,,,2014/04/05 18:49:00,2014/04/05 18:52:00,0,LATE,Network Rail,WFJ,EUS
train,22100001,Y81272,15,VT,,,,2014/04/05 18:54:00,2014/04/05 18:56:00,0,LATE,Network Rail,BHM,EUS
train,22109001,Y81156,14,VT,,,,2014/04/05 19:00:00,2014/04/05 19:03:00,0,LATE,Network Rail,LIV,EUS
train,22108001,Y81158,16,VT,,,,2014/04/05 19:08:00,2014/04/05 19:10:00,-1,LATE,Network Rail,MAN,EUS
train,22216000,L36111,9,LO,,,,2014/04/05 19:13:00,2014/04/05 19:12:00,0,EARLY,Network Rail,WFJ,EUS
train,22112001,Y81695,6,VT,,,,2014/04/05 19:13:00,2014/04/05 19:15:00,0,LATE,Network Rail,GLC,EUS
train,22100001,Y81273,12,VT,,,,2014/04/05 19:15:00,2014/04/05 19:15:00,0,ON TIME,Network Rail,BHM,EUS
train,22108001,Y81161,1,VT,,,,2014/04/05 19:24:00,2014/04/05 19:23:00,0,EARLY,Network Rail,MAN,EUS
train,22216000,L36114,9,LO,,,,2014/04/05 19:30:00,2014/04/05 19:29:00,0,EARLY,Network Rail,WFJ,EUS
train,22209000,G25155,11,LM,,,,2014/04/05 19:37:00,2014/04/05 19:42:00,0,LATE,Network Rail,TRI,EUS
train,22108001,Y81165,2,VT,,,,2014/04/05 19:43:00,2014/04/05 19:42:00,-1,EARLY,Network Rail,MAN,EUS
train,12259320,G25509,10,LM,,,,2014/04/05 19:45:00,2014/04/05 19:44:00,-1,ON TIME,Network Rail,BHM,EUS
train,12259320,G26956,8,LM,,,,2014/04/05 19:45:00,2014/04/05 19:46:00,0,LATE,Network Rail,BHM,EUS
train,22108001,Y81172,1,VT,,,,2014/04/05 20:25:00,2014/04/05 20:35:00,0,LATE,Network Rail,MAN,EUS
train,22209000,G25256,10,LM,,,,2014/04/05 20:38:00,2014/04/05 20:40:00,-1,LATE,Network Rail,TRI,EUS
train,12259320,G25512,8,LM,,,,2014/04/05 20:44:00,2014/04/05 20:46:00,-1,LATE,Network Rail,BHM,EUS
train,22216000,L36127,9,LO,,,,2014/04/05 20:50:00,2014/04/05 20:49:00,0,EARLY,Network Rail,WFJ,EUS
train,22114001,Y81720,7,VT,,,,2014/04/05 20:55:00,2014/04/05 20:54:00,0,EARLY,Network Rail,EDP,EUS
train,22108001,Y81175,3,VT,,,,2014/04/05 20:58:00,2014/04/05 21:00:00,-1,LATE,Network Rail,MAN,EUS
train,12259320,G25520,8,LM,,,,2014/04/05 21:08:00,2014/04/05 21:11:00,0,LATE,Network Rail,BHM,EUS
train,22216000,L36130,9,LO,,,,2014/04/05 21:13:00,2014/04/05 21:12:00,0,EARLY,Network Rail,WFJ,EUS
train,22109001,Y81177,1,VT,,,,2014/04/05 21:15:00,2014/04/05 21:14:00,0,EARLY,Network Rail,LIV,EUS
