mode,service,train_uid,platform,operator,aimed_departure_time,expected_departure_time,best_departure_estimate_mins,aimed_arrival_time,expected_arrival_time,best_arrival_estimate_mins,status,source,origin_code,destination_code
train,22216000,L36113,1,LO,2014/04/04 18:50:00,2014/04/04 18:50:00,51,2014/04/04 18:50:00,2014/04/04 18:50:00,51,ON TIME,Network Rail,WFJ,EUS
train,22216000,L36199,2,LO,2014/04/04 18:54:00,2014/04/04 18:54:00,55,2014/04/04 18:54:00,2014/04/04 18:54:00,55,ON TIME,Network Rail,EUS,WFJ
train,24680004,L31134,1,LT,2014/04/04 18:55:00,2014/04/04 18:55:00,56,2014/04/04 18:55:00,2014/04/04 18:55:00,56,ON TIME,Network Rail,HRW,EPH
train,24680004,L31652,2,LT,2014/04/04 18:58:00,2014/04/04 18:58:00,59,2014/04/04 18:58:00,2014/04/04 18:58:00,59,ON TIME,Network Rail,EPH,HRW
train,24680004,L31354,1,LT,2014/04/04 19:01:00,2014/04/04 19:01:00,62,2014/04/04 19:01:00,2014/04/04 19:01:00,62,ON TIME,Network Rail,SBP,EPH
train,24680004,L31494,2,LT,2014/04/04 19:02:00,2014/04/04 19:02:00,63,2014/04/04 19:02:00,2014/04/04 19:02:00,63,ON TIME,Network Rail,EPH,SBP
train,24680004,L31361,1,LT,2014/04/04 19:05:00,2014/04/04 19:05:00,66,2014/04/04 19:05:00,2014/04/04 19:05:00,66,ON TIME,Network Rail,HRW,EPH
train,24680004,L31666,2,LT,2014/04/04 19:08:00,2014/04/04 19:08:00,69,2014/04/04 19:08:00,2014/04/04 19:08:00,69,ON TIME,Network Rail,EPH,HRW
train,22216000,L36115,1,LO,2014/04/04 19:10:00,2014/04/04 19:10:00,71,2014/04/04 19:10:00,2014/04/04 19:10:00,71,ON TIME,Network Rail,WFJ,EUS
train,22216000,L36196,2,LO,2014/04/04 19:14:00,2014/04/04 19:14:00,75,2014/04/04 19:14:00,2014/04/04 19:14:00,75,ON TIME,Network Rail,EUS,WFJ
train,24680004,L31041,1,LT,2014/04/04 19:17:00,2014/04/04 19:17:00,78,2014/04/04 19:17:00,2014/04/04 19:17:00,78,ON TIME,Network Rail,HRW,EPH
train,24680004,L31750,2,LT,2014/04/04 19:17:00,2014/04/04 19:17:00,78,2014/04/04 19:17:00,2014/04/04 19:17:00,78,ON TIME,Network Rail,EPH,HRW
train,24680004,L31459,2,LT,2014/04/04 19:20:00,2014/04/04 19:20:00,81,2014/04/04 19:20:00,2014/04/04 19:20:00,81,ON TIME,Network Rail,EPH,SBP
train,24680004,L31241,1,LT,2014/04/04 19:22:00,2014/04/04 19:22:00,83,2014/04/04 19:22:00,2014/04/04 19:22:00,83,ON TIME,Network Rail,SBP,EPH
train,24680004,L31764,2,LT,2014/04/04 19:24:00,2014/04/04 19:24:00,85,2014/04/04 19:24:00,2014/04/04 19:24:00,85,ON TIME,Network Rail,EPH,HRW
train,24680004,L31202,1,LT,2014/04/04 19:25:00,2014/04/04 19:25:00,86,2014/04/04 19:25:00,2014/04/04 19:25:00,86,ON TIME,Network Rail,HRW,EPH
train,24680004,L31468,2,LT,2014/04/04 19:28:00,2014/04/04 19:28:00,89,2014/04/04 19:28:00,2014/04/04 19:28:00,89,ON TIME,Network Rail,EPH,SBP
train,22216000,L36117,1,LO,2014/04/04 19:30:00,2014/04/04 19:30:00,91,2014/04/04 19:30:00,2014/04/04 19:30:00,91,ON TIME,Network Rail,WFJ,EUS
train,22216000,L36193,2,LO,2014/04/04 19:33:00,2014/04/04 19:33:00,94,2014/04/04 19:33:00,2014/04/04 19:33:00,94,ON TIME,Network Rail,EUS,WFJ
train,24680004,L31718,2,LT,2014/04/04 19:37:00,2014/04/04 19:37:00,98,2014/04/04 19:37:00,2014/04/04 19:37:00,98,ON TIME,Network Rail,EPH,HRW
train,24680004,L31137,1,LT,2014/04/04 19:38:00,2014/04/04 19:38:00,99,2014/04/04 19:38:00,2014/04/04 19:38:00,99,ON TIME,Network Rail,HRW,EPH
train,24680004,L31455,2,LT,2014/04/04 19:40:00,2014/04/04 19:40:00,101,2014/04/04 19:40:00,2014/04/04 19:40:00,101,ON TIME,Network Rail,EPH,SBP
train,24680004,L31112,1,LT,2014/04/04 19:42:00,2014/04/04 19:42:00,103,2014/04/04 19:42:00,2014/04/04 19:42:00,103,ON TIME,Network Rail,SBP,EPH
train,24680004,L31785,2,LT,2014/04/04 19:44:00,2014/04/04 19:44:00,105,2014/04/04 19:44:00,2014/04/04 19:44:00,105,ON TIME,Network Rail,EPH,HRW
train,24680004,L31164,1,LT,2014/04/04 19:45:00,2014/04/04 19:45:00,106,2014/04/04 19:45:00,2014/04/04 19:45:00,106,ON TIME,Network Rail,HRW,EPH
train,24680004,L31478,2,LT,2014/04/04 19:47:00,2014/04/04 19:47:00,108,2014/04/04 19:47:00,2014/04/04 19:47:00,108,ON TIME,Network Rail,EPH,SBP
train,22216000,L36122,1,LO,2014/04/04 19:50:00,2014/04/04 19:50:00,111,2014/04/04 19:50:00,2014/04/04 19:50:00,111,ON TIME,Network Rail,WFJ,EUS
train,22216000,L36190,2,LO,2014/04/04 19:53:00,2014/04/04 19:53:00,114,2014/04/04 19:53:00,2014/04/04 19:53:00,114,ON TIME,Network Rail,EUS,WFJ
train,24680004,L31260,1,LT,2014/04/04 19:56:00,2014/04/04 19:56:00,117,2014/04/04 19:56:00,2014/04/04 19:56:00,117,ON TIME,Network Rail,HRW,EPH
train,24680004,L31758,2,LT,2014/04/04 19:57:00,2014/04/04 19:57:00,118,2014/04/04 19:57:00,2014/04/04 19:57:00,118,ON TIME,Network Rail,EPH,HRW
